Primary Key,ASIN,Individual Rating,Review Title,Review Date,Review_Date,Verified Purchase,Helpful Votes,Cleaned Review Text,Sentiment,Standardized Category,Standardized Aspect,Standardized Pain Point
256,B0F2162VGQ,4.0,Good Laptop but not best,Reviewed in India on 4 May 2025,2025-05-04,True,20,i am using this laptop from last 2 days.1. fraud claimscharging by c type6-8 hours battery backupuper lid is metal.2. prosperformance wise very good.keyboard is also good with backlitoverall build quilty is average.display quality is also good but not bestcons:batry backup 3 hours on an average or highest 4 hours.heat level is also normal but yet i dont go for any highend workload lets see in future,Neutral,Battery - Poor Battery Backup,Battery,Poor Battery Backup
257,B0F2162VGQ,4.0,Good Laptop but not best,Reviewed in India on 4 May 2025,2025-05-04,True,20,i am using this laptop from last 2 days.1. fraud claimscharging by c type6-8 hours battery backupuper lid is metal.2. prosperformance wise very good.keyboard is also good with backlitoverall build quilty is average.display quality is also good but not bestcons:batry backup 3 hours on an average or highest 4 hours.heat level is also normal but yet i dont go for any highend workload lets see in future,Neutral,Display - Low Quality,Display,Low Quality
258,B0F2162VGQ,2.0,Ok ok,Reviewed in India on 10 July 2025,2025-07-10,True,0,sound quality is not good,Negative,Audio - Poor Sound Quality,Audio,Poor Sound Quality
259,B0F2162VGQ,4.0,Good,Reviewed in India on 29 May 2025,2025-05-29,True,1,the display is a bit underwhelming and the laptop is slower than what i expected from an i7 processor but overall no other issues,Negative,Display - Poor Display Quality,Display,Poor Display Quality
260,B0F2162VGQ,4.0,Good,Reviewed in India on 29 May 2025,2025-05-29,True,1,the display is a bit underwhelming and the laptop is slower than what i expected from an i7 processor but overall no other issues,Negative,Performance - Poor Performance,Performance,Poor Performance
261,B0F2162VGQ,4.0,Awesom in processor wise speed up to mark,Reviewed in India on 8 May 2025,2025-05-08,True,5,"very good product 5 / 5 , as per prosessor wise , speed is realy awesom , dispalay wise 4/5 , build quality 5/5 , design 5/5 and battery backup also ok ok like 3/5 but it is expected bcz heavy processor hai to battery kam hi dega...battery chahia to u series use karo yeh h hai heavy processor hai so bad review mat do battery wise...itk kk...go if you are stock market trader , normal youtuber .",Positive,Battery - Poor Battery Backup,Battery,Poor Battery Backup
262,B0F2162VGQ,5.0,Super one,Reviewed in India on 7 May 2025,2025-05-07,True,1,sound and visual clarity is good. built quality also super. but has less battery backup and except that everything is good.,Positive,Battery - Poor Battery Backup,Battery,Poor Battery Backup
263,B0F2162VGQ,1.0,"Poor Build, Sound Issues, and Display Flaws - Not Worth Buying for ₹55250",Reviewed in India on 7 May 2025,2025-05-07,True,17,"im very disappointed with this laptop. it has multiple issues that make it hard to recommend to anyone. first, the speaker only works properly on the left side, while the right side has very low or no sound at all. this makes watching videos or listening to music frustrating.secondly, the display suffers from backlight bleeding, especially noticeable in dark scenes. the uneven lighting around the edges is distracting and takes away from the viewing experience.on top of that, the build quality is not good. the body feels cheap and flimsy, and it doesnt feel durable or solid in hand. for the price i paid, i expected much better.overall, i regret buying this laptop. poor sound, faulty display, and weak build and its not worth the money. i wouldnt recommend it to others.",Negative,Audio - Unbalanced Sound,Audio,Unbalanced Sound
264,B0F2162VGQ,1.0,"Poor Build, Sound Issues, and Display Flaws - Not Worth Buying for ₹55250",Reviewed in India on 7 May 2025,2025-05-07,True,17,"im very disappointed with this laptop. it has multiple issues that make it hard to recommend to anyone. first, the speaker only works properly on the left side, while the right side has very low or no sound at all. this makes watching videos or listening to music frustrating.secondly, the display suffers from backlight bleeding, especially noticeable in dark scenes. the uneven lighting around the edges is distracting and takes away from the viewing experience.on top of that, the build quality is not good. the body feels cheap and flimsy, and it doesnt feel durable or solid in hand. for the price i paid, i expected much better.overall, i regret buying this laptop. poor sound, faulty display, and weak build and its not worth the money. i wouldnt recommend it to others.",Negative,Display - Backlight Bleeding,Display,Backlight Bleeding
265,B0F2162VGQ,1.0,"Poor Build, Sound Issues, and Display Flaws - Not Worth Buying for ₹55250",Reviewed in India on 7 May 2025,2025-05-07,True,17,"im very disappointed with this laptop. it has multiple issues that make it hard to recommend to anyone. first, the speaker only works properly on the left side, while the right side has very low or no sound at all. this makes watching videos or listening to music frustrating.secondly, the display suffers from backlight bleeding, especially noticeable in dark scenes. the uneven lighting around the edges is distracting and takes away from the viewing experience.on top of that, the build quality is not good. the body feels cheap and flimsy, and it doesnt feel durable or solid in hand. for the price i paid, i expected much better.overall, i regret buying this laptop. poor sound, faulty display, and weak build and its not worth the money. i wouldnt recommend it to others.",Negative,Build - Poor Build Quality,Build,Poor Build Quality
266,B0F2162VGQ,1.0,Worst Kind of Reused laptop delivered,Reviewed in India on 11 May 2025,2025-05-11,True,20,"i got a used product, when i open the lenovo website to register my product. now amazon is not responding properly after multiple times of connecting they responded like it will get resolved soon. sad things is i exchanged my old laptop with 10500 which is 7500 promotion exchange offer now it will be refunded only 3000 for the exchange amount value as 7500 is not refunded.very dissatisfied and disappointed that hard earned money is looted in this way. i observed the laptop charging is going dropping very fast like its 50 percent dropped in one hour.sound is very low only left side speaker is working right side is not working.screen has some disturbance.. buy this product from brand new center not from amazon",Negative,Warranty - Registration & Resolution Issues,Warranty,Registration & Resolution Issues
267,B0F2162VGQ,1.0,Worst Kind of Reused laptop delivered,Reviewed in India on 11 May 2025,2025-05-11,True,20,"i got a used product, when i open the lenovo website to register my product. now amazon is not responding properly after multiple times of connecting they responded like it will get resolved soon. sad things is i exchanged my old laptop with 10500 which is 7500 promotion exchange offer now it will be refunded only 3000 for the exchange amount value as 7500 is not refunded.very dissatisfied and disappointed that hard earned money is looted in this way. i observed the laptop charging is going dropping very fast like its 50 percent dropped in one hour.sound is very low only left side speaker is working right side is not working.screen has some disturbance.. buy this product from brand new center not from amazon",Negative,Exchange/Return Policy - Refund Issues,Exchange/Return Policy,Refund Issues
268,B0F2162VGQ,1.0,Worst Kind of Reused laptop delivered,Reviewed in India on 11 May 2025,2025-05-11,True,20,"i got a used product, when i open the lenovo website to register my product. now amazon is not responding properly after multiple times of connecting they responded like it will get resolved soon. sad things is i exchanged my old laptop with 10500 which is 7500 promotion exchange offer now it will be refunded only 3000 for the exchange amount value as 7500 is not refunded.very dissatisfied and disappointed that hard earned money is looted in this way. i observed the laptop charging is going dropping very fast like its 50 percent dropped in one hour.sound is very low only left side speaker is working right side is not working.screen has some disturbance.. buy this product from brand new center not from amazon",Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
269,B0F2162VGQ,1.0,Worst Kind of Reused laptop delivered,Reviewed in India on 11 May 2025,2025-05-11,True,20,"i got a used product, when i open the lenovo website to register my product. now amazon is not responding properly after multiple times of connecting they responded like it will get resolved soon. sad things is i exchanged my old laptop with 10500 which is 7500 promotion exchange offer now it will be refunded only 3000 for the exchange amount value as 7500 is not refunded.very dissatisfied and disappointed that hard earned money is looted in this way. i observed the laptop charging is going dropping very fast like its 50 percent dropped in one hour.sound is very low only left side speaker is working right side is not working.screen has some disturbance.. buy this product from brand new center not from amazon",Negative,Audio - Low Volume / Balance Issue,Audio,Low Volume / Balance Issue
270,B0F2162VGQ,1.0,Worst Kind of Reused laptop delivered,Reviewed in India on 11 May 2025,2025-05-11,True,20,"i got a used product, when i open the lenovo website to register my product. now amazon is not responding properly after multiple times of connecting they responded like it will get resolved soon. sad things is i exchanged my old laptop with 10500 which is 7500 promotion exchange offer now it will be refunded only 3000 for the exchange amount value as 7500 is not refunded.very dissatisfied and disappointed that hard earned money is looted in this way. i observed the laptop charging is going dropping very fast like its 50 percent dropped in one hour.sound is very low only left side speaker is working right side is not working.screen has some disturbance.. buy this product from brand new center not from amazon",Negative,Display - Screen Distortion / Artifacts,Display,Screen Distortion / Artifacts
271,B0F2162VGQ,1.0,100 to 60% in 10 min,Reviewed in India on 5 May 2025,2025-05-05,True,8,back is very bad . rest is ok,Negative,Back Panel - Poor Quality,Back Panel,Poor Quality
272,B0F2162VGQ,2.0,Feeling a quiet disapointed with performance.,Reviewed in India on 19 May 2025,2025-05-19,False,1,sound is very poor.windows 11 pro would preform better in it.it comes with office 2024. but it is full of not responding.feeling a little bit disapointed.battery is ok.display is also ok and it is lightweight also.,Negative,Audio - Poor Sound Quality,Audio,Poor Sound Quality
273,B0F2162VGQ,2.0,Feeling a quiet disapointed with performance.,Reviewed in India on 19 May 2025,2025-05-19,False,1,sound is very poor.windows 11 pro would preform better in it.it comes with office 2024. but it is full of not responding.feeling a little bit disapointed.battery is ok.display is also ok and it is lightweight also.,Negative,Performance - Poor Performance,Performance,Poor Performance
274,B0F2162VGQ,2.0,Feeling a quiet disapointed with performance.,Reviewed in India on 19 May 2025,2025-05-19,False,1,sound is very poor.windows 11 pro would preform better in it.it comes with office 2024. but it is full of not responding.feeling a little bit disapointed.battery is ok.display is also ok and it is lightweight also.,Negative,Keyboard/Mouse - Not Responding,Keyboard/Mouse,Not Responding
275,B0F2162VGQ,1.0,The battery backup is worst,Reviewed in India on 27 June 2025,2025-06-27,False,1,worst laptop there is no battery back up and also display should be better at that price segment.have thought better than they appear,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
276,B0F2162VGQ,1.0,The battery backup is worst,Reviewed in India on 27 June 2025,2025-06-27,False,1,worst laptop there is no battery back up and also display should be better at that price segment.have thought better than they appear,Negative,Display - Poor Quality,Display,Poor Quality
277,B0F2162VGQ,1.0,Bad build quality,Reviewed in India on 21 June 2025,2025-06-21,False,3,"not satisfied with performance and build qualityi purchased the lenovo smartchoice ideapad slim 3 83k100cjin with the expectation of solid performance and good build quality, especially considering it features a 13th gen intel core i7-13620h processor and 16gb ram.however, after using it, i am not satisfied with the products performance and build quality. performance: the laptop feels sluggish at times, even while handling regular tasks like browsing and working on office applications. given the i7 processor and 16gb ram, i expected much smoother multitasking and responsiveness. build quality: the laptop body feels a bit flimsy and not as premium as i anticipated. the keyboard and trackpad also feel average in quality. positives: lightweight and portable decent display for the price range comes with windows 11 and office home 2024 pre-installedbut overall, i feel this product does not fully justify its specifications in real-world use. if you are looking for better performance and solid build, you may want to explore other options.",Negative,Performance - Poor Performance,Performance,Poor Performance
278,B0F2162VGQ,1.0,Bad build quality,Reviewed in India on 21 June 2025,2025-06-21,False,3,"not satisfied with performance and build qualityi purchased the lenovo smartchoice ideapad slim 3 83k100cjin with the expectation of solid performance and good build quality, especially considering it features a 13th gen intel core i7-13620h processor and 16gb ram.however, after using it, i am not satisfied with the products performance and build quality. performance: the laptop feels sluggish at times, even while handling regular tasks like browsing and working on office applications. given the i7 processor and 16gb ram, i expected much smoother multitasking and responsiveness. build quality: the laptop body feels a bit flimsy and not as premium as i anticipated. the keyboard and trackpad also feel average in quality. positives: lightweight and portable decent display for the price range comes with windows 11 and office home 2024 pre-installedbut overall, i feel this product does not fully justify its specifications in real-world use. if you are looking for better performance and solid build, you may want to explore other options.",Negative,Build - Poor Build Quality,Build,Poor Build Quality
279,B0F2162VGQ,1.0,Bad build quality,Reviewed in India on 21 June 2025,2025-06-21,False,3,"not satisfied with performance and build qualityi purchased the lenovo smartchoice ideapad slim 3 83k100cjin with the expectation of solid performance and good build quality, especially considering it features a 13th gen intel core i7-13620h processor and 16gb ram.however, after using it, i am not satisfied with the products performance and build quality. performance: the laptop feels sluggish at times, even while handling regular tasks like browsing and working on office applications. given the i7 processor and 16gb ram, i expected much smoother multitasking and responsiveness. build quality: the laptop body feels a bit flimsy and not as premium as i anticipated. the keyboard and trackpad also feel average in quality. positives: lightweight and portable decent display for the price range comes with windows 11 and office home 2024 pre-installedbut overall, i feel this product does not fully justify its specifications in real-world use. if you are looking for better performance and solid build, you may want to explore other options.",Negative,Keyboard/Trackpad - Average Quality,Keyboard/Trackpad,Average Quality
280,B0F4R3GFMQ,5.0,keyboard,Reviewed in India on 29 May 2025,2025-05-29,True,7,it doesnt have backlit keyboard,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
281,B0F4R3GFMQ,1.0,Laptop is fragile.,Reviewed in India on 11 June 2025,2025-06-11,True,6,"laptop is fragile.only buy it if you dont need to carry it along with you.it makes crackling sound when the laptop is lifted.display as compared with my another new dell laptop,is dull. colors are not as vibrant as dells.dell is much better in terms of build quality.",Negative,Display - Poor Color Accuracy,Display,Poor Color Accuracy
282,B0F4R3GFMQ,1.0,Laptop is fragile.,Reviewed in India on 11 June 2025,2025-06-11,True,6,"laptop is fragile.only buy it if you dont need to carry it along with you.it makes crackling sound when the laptop is lifted.display as compared with my another new dell laptop,is dull. colors are not as vibrant as dells.dell is much better in terms of build quality.",Negative,Build - Poor Build Quality,Build,Poor Build Quality
283,B0F4R3GFMQ,1.0,Laptop is fragile.,Reviewed in India on 11 June 2025,2025-06-11,True,6,"laptop is fragile.only buy it if you dont need to carry it along with you.it makes crackling sound when the laptop is lifted.display as compared with my another new dell laptop,is dull. colors are not as vibrant as dells.dell is much better in terms of build quality.",Negative,Build - Bulky,Build,Bulky
284,B0F4R3GFMQ,4.0,Great performance at reasonable price,Reviewed in India on 25 July 2024,2024-07-25,True,12,"i3 13th gen good balance between performance and battery back up .mc afee and ms office seems only valid for 30days.display is above average though-brightness viewing angles could have been better.- speakers is good- keyboard is good but not backlit- web cam though they say 1080p ,my 15 year old dell captures better images,it is disappointingoverall. good laptop under 40k",Neutral,Display - Low Brightness & Poor Viewing Angles,Display,Low Brightness & Poor Viewing Angles
285,B0F4R3GFMQ,4.0,Great performance at reasonable price,Reviewed in India on 25 July 2024,2024-07-25,True,12,"i3 13th gen good balance between performance and battery back up .mc afee and ms office seems only valid for 30days.display is above average though-brightness viewing angles could have been better.- speakers is good- keyboard is good but not backlit- web cam though they say 1080p ,my 15 year old dell captures better images,it is disappointingoverall. good laptop under 40k",Neutral,Webcam - Poor Image Quality,Webcam,Poor Image Quality
286,B0F4R3GFMQ,1.0,Nothing,Reviewed in India on 19 June 2025,2025-06-19,True,0,battery backup was very bad..there was no light in keyboard..otherwise that was good,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
287,B0F4R3GFMQ,1.0,Nothing,Reviewed in India on 19 June 2025,2025-06-19,True,0,battery backup was very bad..there was no light in keyboard..otherwise that was good,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
288,B0F4R3GFMQ,3.0,Backlit keyboard not available,Reviewed in India on 12 July 2025,2025-07-12,True,0,the laptop works good has good quality and even the battery works good.. the value of the laptop is also affordable. but the backlit keyboard as mentioned is not working . or is not available in this laptop..,Positive,Keyboard - Backlight Not Functioning,Keyboard,Backlight Not Functioning
289,B0F4R3GFMQ,2.0,Don't buys,Reviewed in India on 8 July 2025,2025-07-08,True,0,battery life is low he write the battery gives 6 hours its gives only gives 3-4 hours,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
290,B0F4R3GFMQ,2.0,"Don't buy,, avoid to buy dump items in sale",Reviewed in India on 2 July 2025,2025-07-02,True,0,"dont buy electric devices during sale,, offers dumped items, build poor quality, speed slow, display good, battery average,",Negative,Build - Poor Build Quality,Build,Poor Build Quality
291,B0F4R3GFMQ,2.0,"Don't buy,, avoid to buy dump items in sale",Reviewed in India on 2 July 2025,2025-07-02,True,0,"dont buy electric devices during sale,, offers dumped items, build poor quality, speed slow, display good, battery average,",Negative,Performance - Poor Performance,Performance,Poor Performance
292,B0F4R3GFMQ,3.0,Misinformation regarding the product,Reviewed in India on 10 November 2024,2024-11-10,True,1,amazon has provided multiple misinformations regarding this laptop. specifically regarding the keyboard and processor speed.,Negative,Keyboard - Ghost Touch / Random Inputs,Keyboard,Ghost Touch / Random Inputs
293,B0F4R3GFMQ,3.0,Misinformation regarding the product,Reviewed in India on 10 November 2024,2024-11-10,True,1,amazon has provided multiple misinformations regarding this laptop. specifically regarding the keyboard and processor speed.,Negative,Processor - Information or Accuracy Issues,Processor,Information or Accuracy Issues
294,B0F4R3GFMQ,3.0,No backlight keyboard feature,Reviewed in India on 6 October 2024,2024-10-06,True,3,i paid additional cost just because it was mentioned backlight feature on the keyboard in the description. but i received without backlight feature.,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
295,B0F4R3GFMQ,2.0,Warranty Fraud,Reviewed in India on 25 March 2025,2025-03-25,True,0,got 7 months warranty instead of 12 months,Negative,Warranty - Short Duration,Warranty,Short Duration
296,B0F4R3GFMQ,1.0,Used product sold as new,Reviewed in India on 21 May 2025,2025-05-21,True,2,the item was a used one. it was already registered since 1 year and it has been sold to us after use. the sweller gave us a used product which has been preregistered in 2024 april whereas the product was purchased on may 2025.,Negative,Product Authenticity - Used Without Disclosure,Product Authenticity,Used Without Disclosure
297,B0F4R3GFMQ,3.0,Wrong mention in product details,Reviewed in India on 10 October 2024,2024-10-10,True,0,no blacklight keyboard in this product.,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
298,B0F4R3GFMQ,3.0,Woow...,Reviewed in India on 2 October 2024,2024-10-02,True,0,except display.... laptop is good ...,Positive,Display - Poor Quality,Display,Poor Quality
299,B0F4R3GFMQ,1.0,Worse product,Reviewed in India on 18 June 2025,2025-06-18,True,1,very bad. old model given.never purchase any items from amazon,Negative,Delivery - Old Model Received,Delivery,Old Model Received
300,B0F4R3GFMQ,3.0,Good,Reviewed in India on 28 July 2024,2024-07-28,True,3,"laptop is good, but couldnt claim 2 years extended warranty as the seller name is not available in drop down list on claiming website. so a bit disappointed.",Negative,Warranty - Claiming Difficulties,Warranty,Claiming Difficulties
301,B0F4R3GFMQ,1.0,Heating problem,Reviewed in India on 5 July 2025,2025-07-05,True,2,heating problem,Negative,Thermal Management - Overheating,Thermal Management,Overheating
302,B0F4R3GFMQ,1.0,speaker not working,Reviewed in India on 2 June 2025,2025-06-02,True,7,speaker not working within 5 days .worst product,Negative,Audio - Speakers Not Working,Audio,Speakers Not Working
303,B0F4R3GFMQ,1.0,Loop performance and heating problem,Reviewed in India on 30 January 2025,2025-01-30,True,2,dont buy this product it is not compatible for use office like wordpad it is heating very quickly and not work properly and after sometime response is very slow you cant do your regular work on it,Negative,Performance - Poor Performance,Performance,Poor Performance
304,B0F4R3GFMQ,1.0,Loop performance and heating problem,Reviewed in India on 30 January 2025,2025-01-30,True,2,dont buy this product it is not compatible for use office like wordpad it is heating very quickly and not work properly and after sometime response is very slow you cant do your regular work on it,Negative,Thermal Management - Overheating,Thermal Management,Overheating
305,B0F4R3GFMQ,2.0,Backlit function,Reviewed in India on 16 October 2024,2024-10-16,True,2,backlit function is not showing in keyboard,Negative,Keyboard - Backlight Not Functioning,Keyboard,Backlight Not Functioning
306,B0F4R3GFMQ,5.0,Amazing...,Reviewed in India on 12 August 2024,2024-08-12,True,5,"boot within 10 second, build quality is nice, color combination is amazing silver with grey keyboard sound is enough with two speakers. only back-lit keyboard missing. other wise amazing product.",Positive,Keyboard - Backlight Missing,Keyboard,Backlight Missing
307,B0F4R3GFMQ,1.0,No backlight keyboard,Reviewed in India on 10 October 2024,2024-10-10,True,15,"reviewed in india on 8 october 2024colour: silver i3 13th gen - 8gb512gbin product description mentioned that laptop has backlit keyboard but it has not. so please take a note it before purchasing it. i wanted return it , i made a mistake ordering in online.",Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
308,B0F4R3GFMQ,1.0,Wrong description,Reviewed in India on 8 February 2025,2025-02-08,True,1,in description it is mentioned it has backlit keyboard but actually it is not. be careful,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
309,B0F4R3GFMQ,1.0,No Backlit keyboard,Reviewed in India on 8 October 2024,2024-10-08,True,5,in product description mentioned that laptop has backlit keyboard but it has not. so please take a note it before purchasing it. also amazon taking time to refund amount and still waiting though it was seller amazons mistake.,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
310,B0F4R3GFMQ,1.0,No Backlit keyboard,Reviewed in India on 8 October 2024,2024-10-08,True,5,in product description mentioned that laptop has backlit keyboard but it has not. so please take a note it before purchasing it. also amazon taking time to refund amount and still waiting though it was seller amazons mistake.,Negative,Refund - Delayed,Refund,Delayed
311,B0F4R3GFMQ,1.0,Keyboard back light not there,Reviewed in India on 23 October 2024,2024-10-23,True,8,the laptop is doesnt have keyboard back light.but the amazon mentioned the back light is there. please think about to buy this product. i was most trusted this app but now the amazon mentioned false information.,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
312,B0F4R3GFMQ,1.0,Keyboard back light not there,Reviewed in India on 23 October 2024,2024-10-23,True,8,the laptop is doesnt have keyboard back light.but the amazon mentioned the back light is there. please think about to buy this product. i was most trusted this app but now the amazon mentioned false information.,Negative,Description - Inaccurate Information,Description,Inaccurate Information
313,B0F4R3GFMQ,1.0,Misleading product description - Backlit keyboard not available,Reviewed in India on 16 October 2024,2024-10-16,True,2,"i received the laptop without a backlit keyboard. according to the product description on the portal, this laptop model is supposed to have a backlit keyboard. i feel completely cheated by amazon.",Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
314,B0F4R3GFMQ,1.0,It's not with backlit keyboard,Reviewed in India on 23 December 2024,2024-12-23,True,2,"in product description and invoice it is mentioned with backlit keyboad, but received without backlite keyboard",Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
315,B0F4R3GFMQ,1.0,Defective product,Reviewed in India on 12 October 2024,2024-10-12,True,2,received defective hp laptop from amazon.pickup order cancelled 4 times and now after investigation they are saying that we can not return the product and refund the amount.,Negative,Build - Damaged Product,Build,Damaged Product
316,B0F4R3GFMQ,1.0,Defective product,Reviewed in India on 12 October 2024,2024-10-12,True,2,received defective hp laptop from amazon.pickup order cancelled 4 times and now after investigation they are saying that we can not return the product and refund the amount.,Negative,Return Policy - Inflexible,Return Policy,Inflexible
317,B0F4R3GFMQ,1.0,Backlit function is not available in this model,Reviewed in India on 9 October 2024,2024-10-09,True,3,"in product description while purchasing , there is backlit. but, actually there is no any facility to enable backlit in the laptop.very disappointing with the false description.",Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
318,B0F4R3GFMQ,1.0,Backlit key missing,Reviewed in India on 14 October 2024,2024-10-14,True,1,in product description mentioned that laptop has backlit keyboard but it has not. i made a mistake ordering in online.,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
319,B0F4R3GFMQ,1.0,NO BACKLITE KEYBOARD. BUT IT MENTIONED BACKLITE KEYBOARD.  WARRENTY ISSUE. BATTERY PROBLEM.,Reviewed in India on 14 October 2024,2024-10-14,True,3,no backlite keyboard. but it mentioned backlite keyboard. warrenty issue. very bad. battery problem.,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
320,B0F4R3GFMQ,1.0,NO BACKLITE KEYBOARD. BUT IT MENTIONED BACKLITE KEYBOARD.  WARRENTY ISSUE. BATTERY PROBLEM.,Reviewed in India on 14 October 2024,2024-10-14,True,3,no backlite keyboard. but it mentioned backlite keyboard. warrenty issue. very bad. battery problem.,Negative,Warranty - General Issue,Warranty,General Issue
321,B0F4R3GFMQ,1.0,NO BACKLITE KEYBOARD. BUT IT MENTIONED BACKLITE KEYBOARD.  WARRENTY ISSUE. BATTERY PROBLEM.,Reviewed in India on 14 October 2024,2024-10-14,True,3,no backlite keyboard. but it mentioned backlite keyboard. warrenty issue. very bad. battery problem.,Negative,Battery - General Issue,Battery,General Issue
322,B0F4R3GFMQ,1.0,Totally unsatisfactory,Reviewed in India on 2 November 2024,2024-11-02,True,1,the deal is totally unsatisfactory. other brand much better than hp.,Negative,Brand - Poor Quality,Brand,Poor Quality
323,B0F4R3GFMQ,1.0,Backlit in the keyboard missing,Reviewed in India on 13 October 2024,2024-10-13,True,0,the description is misguided the there is no backlit in the keyboard.,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
324,B0F4R3GFMQ,1.0,Worst product,Reviewed in India on 6 October 2024,2024-10-06,True,5,they are selling 2nd hand pieces and worst service,Negative,Delivery - Received Used Product,Delivery,Received Used Product
325,B0F4R3GFMQ,1.0,Worst product,Reviewed in India on 6 October 2024,2024-10-06,True,5,they are selling 2nd hand pieces and worst service,Negative,Customer Service - Poor,Customer Service,Poor
326,B0F4R3GFMQ,1.0,No backlit keyboard,Reviewed in India on 29 October 2024,2024-10-29,True,1,wrong description by the seller,Negative,Description - Inaccurate Information,Description,Inaccurate Information
327,B0F4R3GFMQ,1.0,No back lite keyboard,Reviewed in India on 10 October 2024,2024-10-10,True,1,no backlite keyboard. and screen dull,Negative,Keyboard - Backlight Missing,Keyboard,Backlight Missing
328,B0F4R3GFMQ,1.0,No back lite keyboard,Reviewed in India on 10 October 2024,2024-10-10,True,1,no backlite keyboard. and screen dull,Negative,Display - Dull Output,Display,Dull Output
329,B0F4R3GFMQ,1.0,Worst display viewing angle,Reviewed in India on 23 July 2024,2024-07-23,True,3,just a small deviation makes the display unclear,Negative,Display - Poor Viewing Angles,Display,Poor Viewing Angles
330,B0F4R3GFMQ,1.0,Fake product,Reviewed in India on 23 July 2024,2024-07-23,True,1,fake product,Negative,Delivery - Fake Product Received,Delivery,Fake Product Received
331,B0F4R3GFMQ,1.0,not recommended,Reviewed in India on 16 June 2025,2025-06-16,False,0,"product not recommended i purchased the hp i3 13th gen laptop expecting decent performance for everyday tasks, but unfortunately, it has been quite disappointing. the laptop is extremely slow, even for basic applications like browsing, excel, and ms office. startup time is frustratingly long, and there are frequent lags while multitasking.the build quality also feels quite cheap the keyboard is not comfortable to type on, and the trackpad is not very responsive. battery backup is below average, needing frequent charging throughout the day, which defeats the purpose of portability.overall, i feel this laptop is overpriced for what it offers. there are better options available in the same price range with smoother performance and better build quality. i would not recommend this product, especially for students or professionals who need reliable speed and efficiency.",Negative,Performance - Poor Performance,Performance,Poor Performance
332,B0F4R3GFMQ,1.0,not recommended,Reviewed in India on 16 June 2025,2025-06-16,False,0,"product not recommended i purchased the hp i3 13th gen laptop expecting decent performance for everyday tasks, but unfortunately, it has been quite disappointing. the laptop is extremely slow, even for basic applications like browsing, excel, and ms office. startup time is frustratingly long, and there are frequent lags while multitasking.the build quality also feels quite cheap the keyboard is not comfortable to type on, and the trackpad is not very responsive. battery backup is below average, needing frequent charging throughout the day, which defeats the purpose of portability.overall, i feel this laptop is overpriced for what it offers. there are better options available in the same price range with smoother performance and better build quality. i would not recommend this product, especially for students or professionals who need reliable speed and efficiency.",Negative,Boot - Slow Boot Time,Boot,Slow Boot Time
333,B0F4R3GFMQ,1.0,not recommended,Reviewed in India on 16 June 2025,2025-06-16,False,0,"product not recommended i purchased the hp i3 13th gen laptop expecting decent performance for everyday tasks, but unfortunately, it has been quite disappointing. the laptop is extremely slow, even for basic applications like browsing, excel, and ms office. startup time is frustratingly long, and there are frequent lags while multitasking.the build quality also feels quite cheap the keyboard is not comfortable to type on, and the trackpad is not very responsive. battery backup is below average, needing frequent charging throughout the day, which defeats the purpose of portability.overall, i feel this laptop is overpriced for what it offers. there are better options available in the same price range with smoother performance and better build quality. i would not recommend this product, especially for students or professionals who need reliable speed and efficiency.",Negative,Multitasking - Frequent Lags,Multitasking,Frequent Lags
334,B0F4R3GFMQ,1.0,not recommended,Reviewed in India on 16 June 2025,2025-06-16,False,0,"product not recommended i purchased the hp i3 13th gen laptop expecting decent performance for everyday tasks, but unfortunately, it has been quite disappointing. the laptop is extremely slow, even for basic applications like browsing, excel, and ms office. startup time is frustratingly long, and there are frequent lags while multitasking.the build quality also feels quite cheap the keyboard is not comfortable to type on, and the trackpad is not very responsive. battery backup is below average, needing frequent charging throughout the day, which defeats the purpose of portability.overall, i feel this laptop is overpriced for what it offers. there are better options available in the same price range with smoother performance and better build quality. i would not recommend this product, especially for students or professionals who need reliable speed and efficiency.",Negative,Build - Poor Build Quality,Build,Poor Build Quality
